,state_w10,state_w20,state_w50,random10,random20,random50,RNNTestcov10,RNNTestcov20,RNNTestcov50,Stellarbscov10,Stellarbscov20,Stellarbscov50,Stellarbtcov10,Stellarbtcov20,Stellarbtcov50,testRNNsc10,testRNNsc20,testRNNsc50,testRNNsc_cam10,testRNNsc_cam20,testRNNsc_cam50,nc_ctm10,nc_ctm20,nc_ctm50,nc_cam10,nc_cam20,nc_cam50
10,0.6033333333333334,0.5633333333333334,0.40066666666666667,0.31333333333333335,0.2875,0.338,0.42833333333333334,0.3625,0.32966666666666666,0.30666666666666664,0.31166666666666665,0.28933333333333333,0.28833333333333333,0.25083333333333335,0.282,0.30833333333333335,0.3175,0.2986666666666667,0.325,0.3175,0.30933333333333335,0.325,0.3075,0.29133333333333333,0.34833333333333333,0.325,0.3243333333333333
11,0.6216666666666667,0.565,0.394,0.30666666666666664,0.29333333333333333,0.314,0.44,0.3775,0.3373333333333333,0.31,0.30083333333333334,0.2876666666666667,0.305,0.245,0.2773333333333333,0.305,0.30083333333333334,0.2866666666666667,0.315,0.31666666666666665,0.323,0.31333333333333335,0.3075,0.2826666666666667,0.32666666666666666,0.32416666666666666,0.309
12,0.6066666666666667,0.555,0.4046666666666667,0.31333333333333335,0.30833333333333335,0.315,0.43833333333333335,0.375,0.32966666666666666,0.285,0.2816666666666667,0.2833333333333333,0.26666666666666666,0.23333333333333334,0.2723333333333333,0.2916666666666667,0.3025,0.293,0.31,0.31333333333333335,0.31666666666666665,0.3433333333333333,0.305,0.28633333333333333,0.29833333333333334,0.31583333333333335,0.319
13,0.575,0.5475,0.39566666666666667,0.29,0.32416666666666666,0.31466666666666665,0.4083333333333333,0.3541666666666667,0.3403333333333333,0.31166666666666665,0.30583333333333335,0.287,0.2816666666666667,0.24,0.2723333333333333,0.32166666666666666,0.3075,0.30666666666666664,0.315,0.30666666666666664,0.314,0.25666666666666665,0.275,0.277,0.32,0.31416666666666665,0.31933333333333336
14,0.5933333333333334,0.5408333333333334,0.38866666666666666,0.315,0.315,0.31633333333333336,0.42333333333333334,0.375,0.3383333333333333,0.26666666666666666,0.28583333333333333,0.2876666666666667,0.2683333333333333,0.23083333333333333,0.27366666666666667,0.305,0.3016666666666667,0.298,0.33166666666666667,0.3125,0.315,0.325,0.2891666666666667,0.2823333333333333,0.35,0.30333333333333334,0.31866666666666665
15,0.595,0.5508333333333333,0.4013333333333333,0.30833333333333335,0.3175,0.31766666666666665,0.42333333333333334,0.37166666666666665,0.334,0.32,0.31666666666666665,0.29333333333333333,0.29333333333333333,0.25416666666666665,0.282,0.32,0.31083333333333335,0.31233333333333335,0.3383333333333333,0.3275,0.31866666666666665,0.30833333333333335,0.31083333333333335,0.289,0.305,0.31333333333333335,0.32033333333333336
16,0.6066666666666667,0.5408333333333334,0.3953333333333333,0.3,0.3416666666666667,0.31733333333333336,0.42833333333333334,0.38083333333333336,0.32133333333333336,0.2633333333333333,0.285,0.279,0.27,0.245,0.27666666666666667,0.33,0.3233333333333333,0.30133333333333334,0.34,0.32666666666666666,0.314,0.3283333333333333,0.3175,0.284,0.30833333333333335,0.3333333333333333,0.30966666666666665
17,0.5883333333333334,0.545,0.38766666666666666,0.32666666666666666,0.3175,0.328,0.43166666666666664,0.3675,0.33566666666666667,0.31166666666666665,0.295,0.27566666666666667,0.27666666666666667,0.25166666666666665,0.27666666666666667,0.315,0.30416666666666664,0.29533333333333334,0.31,0.2925,0.3233333333333333,0.315,0.29333333333333333,0.2836666666666667,0.3016666666666667,0.325,0.31033333333333335
18,0.6283333333333333,0.575,0.4033333333333333,0.3383333333333333,0.3325,0.329,0.425,0.37333333333333335,0.3343333333333333,0.29833333333333334,0.30833333333333335,0.29733333333333334,0.2833333333333333,0.2475,0.27466666666666667,0.32,0.31,0.312,0.3566666666666667,0.325,0.3303333333333333,0.33166666666666667,0.32,0.295,0.35,0.3358333333333333,0.31266666666666665
19,0.6366666666666667,0.575,0.4076666666666667,0.33666666666666667,0.3258333333333333,0.324,0.39,0.3616666666666667,0.3393333333333333,0.325,0.29083333333333333,0.2856666666666667,0.2833333333333333,0.25,0.272,0.31333333333333335,0.31083333333333335,0.29533333333333334,0.3283333333333333,0.3175,0.32466666666666666,0.3416666666666667,0.30916666666666665,0.28,0.31666666666666665,0.3283333333333333,0.32233333333333336
