,state_w10,state_w20,state_w50,random10,random20,random50,RNNTestcov10,RNNTestcov20,RNNTestcov50,Stellarbscov10,Stellarbscov20,Stellarbscov50,Stellarbtcov10,Stellarbtcov20,Stellarbtcov50,testRNNsc10,testRNNsc20,testRNNsc50,testRNNsc_cam10,testRNNsc_cam20,testRNNsc_cam50,nc_ctm10,nc_ctm20,nc_ctm50,nc_cam10,nc_cam20,nc_cam50
10,0.6066666666666667,0.565,0.386,0.2916666666666667,0.32916666666666666,0.321,0.4483333333333333,0.375,0.337,0.19666666666666666,0.225,0.2623333333333333,0.22,0.24583333333333332,0.2683333333333333,0.225,0.22916666666666666,0.25166666666666665,0.325,0.31916666666666665,0.322,0.21333333333333335,0.24166666666666667,0.26966666666666667,0.35,0.31916666666666665,0.31966666666666665
11,0.62,0.5508333333333333,0.393,0.32666666666666666,0.3375,0.321,0.4716666666666667,0.39416666666666667,0.341,0.21833333333333332,0.22083333333333333,0.2623333333333333,0.25833333333333336,0.2525,0.276,0.22333333333333333,0.225,0.26166666666666666,0.3383333333333333,0.33,0.32166666666666666,0.21166666666666667,0.24916666666666668,0.2713333333333333,0.34,0.3433333333333333,0.3283333333333333
12,0.6116666666666667,0.5683333333333334,0.38466666666666666,0.31833333333333336,0.32666666666666666,0.327,0.46,0.3908333333333333,0.3393333333333333,0.20333333333333334,0.2125,0.265,0.23833333333333334,0.26916666666666667,0.27166666666666667,0.19,0.20166666666666666,0.242,0.3516666666666667,0.32166666666666666,0.31266666666666665,0.21166666666666667,0.2325,0.272,0.31333333333333335,0.3375,0.31533333333333335
13,0.6383333333333333,0.5816666666666667,0.38866666666666666,0.37333333333333335,0.3383333333333333,0.316,0.46,0.38916666666666666,0.3486666666666667,0.23166666666666666,0.23666666666666666,0.26966666666666667,0.24666666666666667,0.25083333333333335,0.281,0.22,0.235,0.259,0.34,0.3375,0.322,0.225,0.24333333333333335,0.279,0.2916666666666667,0.32666666666666666,0.33166666666666667
14,0.5833333333333334,0.5341666666666667,0.37466666666666665,0.29833333333333334,0.3383333333333333,0.313,0.43666666666666665,0.3825,0.33866666666666667,0.19,0.21083333333333334,0.258,0.24666666666666667,0.24916666666666668,0.27,0.22166666666666668,0.24083333333333334,0.24866666666666667,0.2866666666666667,0.325,0.324,0.24,0.2575,0.27166666666666667,0.32166666666666666,0.35,0.32466666666666666
15,0.56,0.54,0.37133333333333335,0.31666666666666665,0.32,0.31066666666666665,0.4266666666666667,0.365,0.323,0.22666666666666666,0.235,0.266,0.25,0.24916666666666668,0.267,0.21833333333333332,0.2275,0.25066666666666665,0.315,0.31583333333333335,0.30433333333333334,0.22333333333333333,0.2375,0.2683333333333333,0.31666666666666665,0.325,0.31933333333333336
16,0.6166666666666667,0.54,0.388,0.3333333333333333,0.3016666666666667,0.32233333333333336,0.49333333333333335,0.4,0.3443333333333333,0.20666666666666667,0.21416666666666667,0.2613333333333333,0.22166666666666668,0.245,0.2753333333333333,0.225,0.22,0.254,0.3,0.31833333333333336,0.32066666666666666,0.195,0.24916666666666668,0.27566666666666667,0.33,0.3283333333333333,0.315
17,0.6033333333333334,0.5325,0.37166666666666665,0.30666666666666664,0.32666666666666666,0.3263333333333333,0.4633333333333333,0.39166666666666666,0.33366666666666667,0.18333333333333332,0.21083333333333334,0.25333333333333335,0.22666666666666666,0.23583333333333334,0.26366666666666666,0.185,0.20666666666666667,0.24966666666666668,0.3283333333333333,0.30416666666666664,0.30833333333333335,0.21833333333333332,0.235,0.27066666666666667,0.31666666666666665,0.31666666666666665,0.30866666666666664
18,0.6066666666666667,0.5533333333333333,0.386,0.2866666666666667,0.32666666666666666,0.3243333333333333,0.45666666666666667,0.37583333333333335,0.351,0.22333333333333333,0.24333333333333335,0.26966666666666667,0.26,0.27,0.281,0.195,0.22333333333333333,0.2663333333333333,0.3333333333333333,0.33416666666666667,0.321,0.20833333333333334,0.22666666666666666,0.27666666666666667,0.31666666666666665,0.3233333333333333,0.32766666666666666
19,0.6116666666666667,0.5475,0.378,0.3233333333333333,0.3408333333333333,0.313,0.44166666666666665,0.3825,0.339,0.20666666666666667,0.21666666666666667,0.258,0.275,0.26666666666666666,0.26966666666666667,0.17333333333333334,0.18583333333333332,0.24933333333333332,0.3,0.31666666666666665,0.3253333333333333,0.22833333333333333,0.2475,0.2776666666666667,0.325,0.32083333333333336,0.31633333333333336
20,0.5833333333333334,0.55,0.37166666666666665,0.35833333333333334,0.32,0.30966666666666665,0.4533333333333333,0.38333333333333336,0.3313333333333333,0.19,0.23,0.266,0.24166666666666667,0.2475,0.26966666666666667,0.195,0.21083333333333334,0.246,0.29833333333333334,0.2891666666666667,0.31266666666666665,0.2,0.24,0.2623333333333333,0.32666666666666666,0.3308333333333333,0.308
21,0.595,0.5633333333333334,0.377,0.3,0.31,0.31866666666666665,0.4766666666666667,0.39916666666666667,0.3443333333333333,0.2,0.2225,0.263,0.23,0.2625,0.27166666666666667,0.21166666666666667,0.22166666666666668,0.25433333333333336,0.3233333333333333,0.30583333333333335,0.31666666666666665,0.245,0.2658333333333333,0.29,0.31666666666666665,0.3275,0.32133333333333336
22,0.6483333333333333,0.5791666666666667,0.3883333333333333,0.33166666666666667,0.3016666666666667,0.31233333333333335,0.48333333333333334,0.3975,0.3406666666666667,0.20833333333333334,0.2225,0.264,0.24,0.2625,0.279,0.21166666666666667,0.22666666666666666,0.251,0.2866666666666667,0.30833333333333335,0.3233333333333333,0.19666666666666666,0.2325,0.2713333333333333,0.31666666666666665,0.31083333333333335,0.31966666666666665
23,0.585,0.5558333333333333,0.38233333333333336,0.31333333333333335,0.33,0.32233333333333336,0.46,0.3958333333333333,0.341,0.18666666666666668,0.20583333333333334,0.26,0.255,0.25333333333333335,0.269,0.20666666666666667,0.21416666666666667,0.257,0.31166666666666665,0.3258333333333333,0.31533333333333335,0.20666666666666667,0.23916666666666667,0.2663333333333333,0.2916666666666667,0.33166666666666667,0.31433333333333335
24,0.5766666666666667,0.5333333333333333,0.37133333333333335,0.3383333333333333,0.32083333333333336,0.30533333333333335,0.4816666666666667,0.3958333333333333,0.33166666666666667,0.22333333333333333,0.23083333333333333,0.25166666666666665,0.25166666666666665,0.2475,0.26266666666666666,0.215,0.225,0.24566666666666667,0.31,0.33,0.318,0.20333333333333334,0.22166666666666668,0.26766666666666666,0.31833333333333336,0.31333333333333335,0.31
25,0.5983333333333334,0.56,0.37766666666666665,0.2816666666666667,0.30416666666666664,0.30733333333333335,0.4583333333333333,0.37916666666666665,0.33466666666666667,0.22666666666666666,0.22583333333333333,0.253,0.24,0.24,0.267,0.20166666666666666,0.21,0.24833333333333332,0.29,0.3225,0.31,0.22,0.23916666666666667,0.26866666666666666,0.295,0.305,0.30566666666666664
26,0.6066666666666667,0.5566666666666666,0.3893333333333333,0.305,0.32083333333333336,0.325,0.4683333333333333,0.3875,0.342,0.225,0.22416666666666665,0.2673333333333333,0.2683333333333333,0.27,0.2773333333333333,0.21666666666666667,0.2325,0.25133333333333335,0.31166666666666665,0.31833333333333336,0.3253333333333333,0.21666666666666667,0.2475,0.278,0.29333333333333333,0.3233333333333333,0.32766666666666666
27,0.6116666666666667,0.57,0.3923333333333333,0.345,0.3383333333333333,0.32,0.49166666666666664,0.42083333333333334,0.348,0.22666666666666666,0.24,0.2723333333333333,0.26,0.2658333333333333,0.2806666666666667,0.24833333333333332,0.24333333333333335,0.26666666666666666,0.295,0.3308333333333333,0.32766666666666666,0.21833333333333332,0.235,0.2786666666666667,0.33166666666666667,0.3416666666666667,0.32966666666666666
28,0.6166666666666667,0.545,0.38766666666666666,0.3433333333333333,0.3125,0.336,0.455,0.4066666666666667,0.35033333333333333,0.22333333333333333,0.24083333333333334,0.2703333333333333,0.2783333333333333,0.275,0.2803333333333333,0.22166666666666668,0.22916666666666666,0.25733333333333336,0.315,0.33916666666666667,0.33366666666666667,0.22166666666666668,0.24166666666666667,0.2813333333333333,0.29833333333333334,0.33166666666666667,0.325
29,0.5916666666666667,0.5508333333333333,0.37933333333333336,0.35333333333333333,0.3258333333333333,0.313,0.4666666666666667,0.38333333333333336,0.333,0.2,0.2375,0.2653333333333333,0.255,0.265,0.278,0.23333333333333334,0.22083333333333333,0.25633333333333336,0.33166666666666667,0.30333333333333334,0.32133333333333336,0.21166666666666667,0.24666666666666667,0.2773333333333333,0.3283333333333333,0.31333333333333335,0.327
